time (days since 1610-01-01),wavelength (nm),irradiance (W/m^2/nm)
151757.0,457.5,2.136624813079834
151757.0,458.5,2.005769968032837
151757.0,459.5,2.046273946762085
151757.0,460.5,2.070258617401123
151757.0,461.5,2.1350512504577637
151757.0,462.5,2.1186296939849854
151757.0,463.5,2.0869593620300293
151757.0,464.5,2.019170045852661
151757.0,465.5,2.0619733333587646
151757.0,466.5,2.001319408416748
151757.0,467.5,2.0834147930145264
151757.0,468.5,2.0358026027679443
151757.0,469.5,2.073207139968872
151757.0,470.5,1.9510235786437988
151757.0,471.5,2.0342090129852295
151757.0,472.5,2.127220392227173
151757.0,473.5,2.0181832313537598
151757.0,474.5,2.11246919631958
151757.0,475.5,2.0778446197509766
151757.0,476.5,2.0186984539031982
151757.0,477.5,2.151932954788208
151757.0,478.5,2.0996718406677246
151757.0,479.5,2.1117515563964844
151757.0,480.5,2.078279972076416
151757.0,481.5,2.1229541301727295
151757.0,482.5,2.1114680767059326
151757.0,483.5,2.0594711303710938
151757.0,484.5,2.0248100757598877
151757.0,485.5,1.9296334981918335
151757.0,486.5,1.599313735961914
151757.0,487.5,1.8597896099090576
151757.0,488.5,2.0052120685577393
151757.0,489.5,1.9919925928115845
151757.0,490.5,2.0752720832824707
151757.0,491.5,2.0060930252075195
151757.0,492.5,1.8647522926330566
151757.0,493.5,2.016448736190796
151757.0,494.5,2.038264751434326
151757.0,495.5,1.9721652269363403
151757.0,496.5,2.081188201904297
151757.0,497.5,2.055823802947998
151757.0,498.5,1.9053086042404175
151757.0,499.5,2.0143444538116455
151757.0,500.5,1.8768726587295532
151757.0,501.5,1.854777216911316
151757.0,502.5,1.9315705299377441
151757.0,503.5,2.008711576461792
151757.0,504.5,1.9161678552627563
151757.0,505.5,1.9924120903015137
151757.0,506.5,2.036379814147949
151757.0,507.5,1.9907454252243042
151757.0,508.5,1.8989018201828003
151757.0,509.5,2.0240097045898438
151757.0,510.5,1.9263107776641846
151757.0,511.5,2.0104727745056152
151757.0,512.5,1.9350730180740356
151757.0,513.5,1.9240111112594604
151757.0,514.5,1.8328464031219482
151757.0,515.5,1.9408478736877441
151757.0,516.5,1.7546941041946411
151757.0,517.5,1.6836843490600586
151757.0,518.5,1.707535743713379
151757.0,519.5,1.832442283630371
151757.0,520.5,1.8679327964782715
151757.0,521.5,1.9065550565719604
151757.0,522.5,1.871380090713501
151757.0,523.5,1.910751223564148
151757.0,524.5,1.984243631362915
151757.0,525.5,1.946742057800293
151757.0,526.5,1.789987325668335
151757.0,527.5,1.7689403295516968
151757.0,528.5,1.9279111623764038
151757.0,529.5,1.9564688205718994
151757.0,530.5,1.9716519117355347
151757.0,531.5,2.0045201778411865
151757.0,532.5,1.844093680381775
151757.0,533.5,1.93384850025177
151757.0,534.5,1.8926078081130981
151757.0,535.5,1.9882533550262451
151757.0,536.5,1.9301393032073975
151757.0,537.5,1.8870526552200317
151757.0,538.5,1.9436848163604736
151757.0,539.5,1.8532915115356445
151757.0,540.5,1.8375611305236816
151757.0,541.5,1.8856252431869507
151757.0,542.5,1.9156745672225952
151757.0,543.5,1.848435640335083
151757.0,544.5,1.9106487035751343
