datetime,X
2015-03-17 03:57:00+00:00,20564.0
2015-03-17 03:58:00+00:00,20563.2
2015-03-17 03:59:00+00:00,20563.4
2015-03-17 04:00:00+00:00,20564.7
2015-03-17 04:01:00+00:00,20565.6
2015-03-17 04:02:00+00:00,20566.1
2015-03-17 04:03:00+00:00,20565.0
2015-03-17 04:04:00+00:00,20563.9
2015-03-17 04:05:00+00:00,20563.1
2015-03-17 04:06:00+00:00,20563.0
2015-03-17 04:07:00+00:00,20563.9
2015-03-17 04:08:00+00:00,20564.1
2015-03-17 04:09:00+00:00,20562.9
2015-03-17 04:10:00+00:00,20562.8
2015-03-17 04:11:00+00:00,20562.0
2015-03-17 04:12:00+00:00,20561.3
2015-03-17 04:13:00+00:00,20561.0
2015-03-17 04:14:00+00:00,20560.8
2015-03-17 04:15:00+00:00,20562.8
2015-03-17 04:16:00+00:00,20563.1
2015-03-17 04:17:00+00:00,20562.6
2015-03-17 04:18:00+00:00,20563.6
2015-03-17 04:19:00+00:00,20563.1
2015-03-17 04:20:00+00:00,20563.2
2015-03-17 04:21:00+00:00,20561.8
2015-03-17 04:22:00+00:00,20562.2
2015-03-17 04:23:00+00:00,20561.9
2015-03-17 04:24:00+00:00,20562.1
2015-03-17 04:25:00+00:00,20562.0
2015-03-17 04:26:00+00:00,20561.0
2015-03-17 04:27:00+00:00,20562.5
2015-03-17 04:28:00+00:00,20562.2
2015-03-17 04:29:00+00:00,20562.7
2015-03-17 04:30:00+00:00,20562.6
2015-03-17 04:31:00+00:00,20563.3
2015-03-17 04:32:00+00:00,20562.7
2015-03-17 04:33:00+00:00,20563.9
2015-03-17 04:34:00+00:00,20563.8
2015-03-17 04:35:00+00:00,20563.9
2015-03-17 04:36:00+00:00,20563.7
2015-03-17 04:37:00+00:00,20565.4
2015-03-17 04:38:00+00:00,20566.6
2015-03-17 04:39:00+00:00,20565.8
2015-03-17 04:40:00+00:00,20565.8
2015-03-17 04:41:00+00:00,20565.5
2015-03-17 04:42:00+00:00,20564.0
2015-03-17 04:43:00+00:00,20563.7
2015-03-17 04:44:00+00:00,20563.5
2015-03-17 04:45:00+00:00,20564.5
2015-03-17 04:46:00+00:00,20562.6
2015-03-17 04:47:00+00:00,20603.3
2015-03-17 04:48:00+00:00,20616.4
2015-03-17 04:49:00+00:00,20617.7
2015-03-17 04:50:00+00:00,20610.0
2015-03-17 04:51:00+00:00,20603.5
2015-03-17 04:52:00+00:00,20599.0
2015-03-17 04:53:00+00:00,20599.6
2015-03-17 04:54:00+00:00,20599.9
2015-03-17 04:55:00+00:00,20596.3
2015-03-17 04:56:00+00:00,20593.0
2015-03-17 04:57:00+00:00,20592.1
2015-03-17 04:58:00+00:00,20590.3
2015-03-17 04:59:00+00:00,20588.5
2015-03-17 05:00:00+00:00,20587.2
2015-03-17 05:01:00+00:00,20585.4
2015-03-17 05:02:00+00:00,20585.6
2015-03-17 05:03:00+00:00,20587.1
2015-03-17 05:04:00+00:00,20589.2
